gene_id,sample_001,sample_002
ALOX15,104,110
UNC93A,117,115
GAPT,90,109
EMILIN2,92,118
THRB,95,120
SPAG4,105,106
RHOU,113,133
ALOX15B,106,120
PALMD,85,123
ADAMTS9-AS2,116,146
ACOX2,100,117
LAT2,107,101
KLHL14,96,120
RASGRF1,96,108
EDNRB,110,122
NOS3,96,129
OLFML3,66,136
IGFBP3,99,117
RAPGEFL1,114,115
GABRA2,100,118
CEP55,84,119
CSF2RA,101,115
KCNJ16,113,121
MT1A,112,120
TNFSF15,101,128
PLCB2,105,117
CHST3,90,105
LRP8,110,104
SLC1A1,81,101
THSD4,104,117
UNC5CL,108,125
CAPN8,108,144
ARHGAP29,92,114
PDGFB,98,124
CH25H,106,143
KCNJ10,106,115
GNG4,100,100
TBX3,97,139
SPN,116,117
ZNF488,107,125
KLF12,121,115
LONRF2,104,128
PRDX4,97,109
SQLE,96,124
PLXNC1,116,131
FUT3,106,138
PROM1,89,125
SNX29P2,99,135
APBB1IP,108,124
KCNJ8,102,135
WAS,96,123
GPX8,102,126
ASPN,92,132
PLN,91,108
XBP1,103,124
FRAS1,94,125
STAP2,88,120
RORC,108,132
MANF,101,119
BTN3A2,85,110
RGMA,93,118
CYFIP2,95,106
SIRPB1,97,119
LILRB5,113,126
RSPO2,97,136
SLCO4C1,97,113
LAP3,112,128
EHD3,130,132
CES2,105,133
CCDC88A,91,137
SIGLEC12,121,128
COL19A1,116,133
SLC35G1,95,120
EOMES,112,123
CBX6,93,102
EHD2,89,115
PTK7,103,134
FUT6,87,106
HYOU1,97,128
STEAP3,95,126
SV2B,109,107
MIR155HG,95,118
FZD7,93,138
RGS2,83,124
ST6GALNAC6,98,118
CYBA,111,115
FCHSD2,98,125
TNFRSF4,111,120
TGFBR3,93,126
EDIL3,109,125
NFASC,91,110
CD8A,103,106
GNB4,114,114
CPXM2,98,124
AGMO,106,127
TMEM25,106,112
ADAM28,92,133
KPNA2,103,127
PDCD1LG2,86,117
RAB30,97,107
ABCG5,84,112
CILP,109,114
IMPDH1,94,115
TMEM156,101,118
SIGLEC15,97,110
TEK,97,105
BTN3A1,108,139
VGLL3,113,130
ANKRD44,90,124
EFNA1,104,113
ITPKB,102,109
GCNT3,110,146
LRP4,97,123
TBX10,93,133
DEGS2,102,92
CSGALNACT1,102,128
PIK3R3,114,106
ACTN1,100,130
NR4A2,106,114
KIF21B,127,124
CYBRD1,86,109
NLRC3,111,122
OLFML2A,103,121
LTBP1,83,123
ACKR4,94,126
ADAM12,87,125
ESPL1,87,111
SECTM1,102,139
BCL2,105,123
P2RY13,102,144
SIGLEC5,126,107
CCR3,95,123
MICB,103,107
MAOB,98,106
LAPTM5,99,120
KCNE3,97,122
CD209,94,114
MSC,100,125
VASN,106,140
OSGIN1,104,133
PROM2,120,125
IRS1,110,131
VWA1,97,107
SERPINH1,114,116
MS4A6A,100,119
NEGR1,83,123
ASRGL1,86,120
SLC7A7,95,123
ITGB3,98,101
TNK2,100,108
KANK2,85,113
OSR2,123,117
DNASE1L3,122,112
IHH,104,112
MMP25,84,113
GLRA2,98,134
CD40LG,94,119
ALDH1L2,94,117
CSRP2,94,110
GNA15,100,128
PIP4K2A,98,142
ADD2,85,124
ASPG,97,112
SMOX,106,110
HCP5,96,114
ABCC6,99,136
CHL1,99,145
NKX2-3,106,125
MOCS1,106,120
SLC2A6,99,121
CARD8,90,108
SEMA3E,102,121
AXDND1,93,122
DACT2,100,104
RHOQ,98,109
MMP14,122,119
IFNAR2,92,117
S100A4,97,93
MSR1,100,127
RCAN2,110,101
KLK1,114,122
DKK3,92,111
GRAMD1A,80,129
KCNJ3,90,115
CALU,98,114
EPHA3,90,134
ATP2B4,97,138
FENDRR,99,120
FPR3,108,102
MS4A4A,96,111
HHEX,94,120
IQSEC1,96,115
PKDCC,99,112
ZCCHC24,113,101
PPP1R14D,84,115
WNT11,92,122
F11,99,111
JAK2,88,119
SLC43A2,98,103
ECHDC3,99,122
TFEC,94,111
ASB2,99,126
ABCC1,111,131
FGD5,91,137
FUT2,109,125
CBLC,102,107
C2CD4B,104,110
FGFBP1,92,122
AKT3,106,114
TGFB3,88,116
KCTD12,91,123
FNBP1,101,126
JUNB,88,112
FAAH,101,115
TBXAS1,86,95
GIMAP7,96,113
JUN,92,123
TF,90,100
COL9A2,89,120
CCR9,101,128
PCDH7,111,117
WTAPP1,101,129
SCIMP,112,140
CASP10,81,117
ICAM3,88,116
CHRM3-AS2,84,110
SULT1E1,106,123
CELF2,103,134
MDGA1,93,140
PLP1,82,122
AGPAT2,83,109
PODXL,101,136
HYAL2,102,129
HAAO,104,109
MEG3,94,117
C1orf115,99,99
OR51E2,79,125
EML1,78,126
COL8A2,87,126
CDC20,105,117
IL3RA,113,119
SLC22A4,101,113
MLKL,95,129
C1QC,93,113
LZTS1,89,128
MFAP5,90,109
ITM2A,103,125
IFI44,92,126
GIMAP6,105,136
LMCD1,115,112
RNF186,94,117
RASGEF1A,90,132
TCN2,121,115
NUCB2,97,114
GATA5,83,126
GPR65,93,114
PRNP,108,108
SPI1,90,107
RBPMS,85,140
CD163L1,110,115
PPARGC1A,101,106
PLCD3,108,98
PRR16,121,123
TRIM15,85,143
ARHGAP4,102,120
HHLA2,96,121
CSGALNACT2,93,126
IL22RA1,88,100
SLCO4A1,92,134
SH3BP5,88,116
PDE10A,105,125
CERCAM,101,111
MRGPRF,96,132
BIN2,110,111
CEP170,101,131
CMKLR1,95,117
HNF1A-AS1,95,121
GIMAP8,106,126
SVOPL,107,118
ADAMTS7,88,132
SVEP1,97,112
SPDEF,92,131
ITGA9,113,118
PCED1B,85,147
SLC12A4,108,109
ABCA2,102,119
CTSC,103,143
JAM2,113,131
BTG2,90,112
KIT,95,107
RGS4,108,108
CD109,103,118
ASS1,87,116
MEF2B,117,107
TACSTD2,99,105
SNN,101,127
GNG2,90,139
ADH6,102,121
ENTPD1,115,129
HSP90B1,86,111
CLDN5,100,112
GDF15,99,133
EVI2B,95,111
IL1RL1,92,124
IFIT2,98,114
SNAI2,110,130
TNNC1,91,111
SORBS2,91,111
EYA2,87,116
BAIAP2L2,103,125
ADAMTS15,77,115
GPR132,107,119
CDA,98,111
BHLHA15,93,110
TFPI,107,131
FAM95B1,100,129
ERG,92,130
GGT5,116,120
NGEF,87,110
SH3TC1,99,135
DOCK10,94,120
MAP4K4,110,104
PRAC2,94,118
CHDH,94,112
DAO,89,111
RELT,101,117
ANXA3,109,114
CWH43,101,125
NID2,78,135
MAP3K8,98,136
P2RX7,101,132
PRF1,106,127
MXRA7,105,108
TWSG1,88,122
HRH2,93,121
OSR1,105,123
SLC2A1,103,112
AZGP1,99,120
MT2A,117,124
SLC2A12,95,115
PIK3C2G,99,111
TSPAN9,80,121
GJA4,103,139
ARHGDIG,94,110
PROS1,106,123
LMNB1,114,122
ID4,95,119
NEUROD1,93,111
MPST,91,111
SORCS2,92,97
SLC27A4,105,123
AGRN,77,121
MATN2,90,128
PTPN6,91,123
ERBB3,89,130
AKNA,113,126
TRIM9,101,105
CD3E,81,121
CDX2,111,137
CEBPE,106,126
CD59,111,111
SH2B3,99,117
GM2A,109,109
GRAMD1B,96,108
TK1,103,124
CD74,101,122
TNS4,107,122
MTHFD2,98,133
SCNN1A,97,114
ASPA,121,123
SH2D6,122,122
FCHO1,82,149
EMP3,93,115
SIPA1,97,143
MAP3K3,104,100
ZNF831,85,139
CDH13,100,126
GLIPR1,113,120
SFN,100,115
MOGAT3,98,135
FERMT3,96,121
DLC1,115,109
BOC,121,127
CBFB,99,105
GNLY,96,117
MFNG,87,128
SNHG5,93,109
TMEM200A,112,107
IL20RA,103,125
CD1E,100,126
INSIG1,101,121
GRIA4,94,112
FKBP5,96,141
IFIT1,92,114
APCDD1,86,108
STAT5A,96,119
NTRK3,115,124
ARID5B,110,132
MOXD1,97,123
ROBO4,115,124
CLEC14A,106,100
ACOT11,106,115
ME1,99,132
NRCAM,89,121
CD8B,111,120
ANLN,99,133
ARHGAP23,88,111
QPRT,99,114
ARHGEF1,112,122
IKBIP,95,122
LINC00402,105,110
SEC14L1,105,147
TSPAN4,87,124
TRPM5,93,106
SHCBP1,114,117
TRAF5,116,123
PDLIM7,83,133
TGFBR2,109,115
DOCK4,112,130
PLXNA1,110,124
NUGGC,93,102
GIMAP5,107,125
ZNF385D,105,126
CHAC1,83,117
PDGFD,113,133
TRPM4,113,124
GRAMD1C,102,150
CCNB1,98,120
ST8SIA1,92,111
FLT3,96,117
FAIM2,81,106
NCF1C,109,121
LY86,86,122
PCED1B-AS1,89,120
KCNK5,108,126
KCNS3,112,149
GABRB3,95,96
BUB1,87,114
CPE,111,116
TEF,98,99
CD96,115,128
SUSD3,105,130
WFDC2,104,126
MRAP2,94,104
CAPN6,86,135
ZBTB7C,86,123
FADS3,77,94
ARHGEF17,109,137
NMNAT2,93,110
SMAP2,103,115
NRROS,102,130
CXCL14,103,99
PRR15,80,117
AQP11,101,121
SLC19A1,89,112
SLC9A9,97,100
RBBP8NL,77,120
CLCN2,92,122
GPR17,68,133
PLCB4,71,102
SIRPA,104,126
LAMB2,114,118
BMP4,93,114
SLC16A3,123,122
RUNX1,102,112
CCR5,94,116
ITGB2-AS1,83,97
CMTM7,90,120
GPA33,118,110
SHH,94,138
SLC43A3,102,124
CD320,91,106
PDE6A,96,123
CREB5,97,107
TPSG1,113,130
ANKS4B,125,122
ATP1A2,93,114
FXYD5,94,118
SMTN,90,121
EPS8L1,94,95
MKI67,98,127
ANKRD33B,77,118
MMP15,123,121
NOTCH4,81,125
FAM20C,94,102
NXN,103,136
DEPDC7,90,121
TREM2,99,105
ELMO3,81,114
HOTTIP,102,105
STON1,95,126
SYTL1,91,111
ARHGAP15,81,134
PTPRS,104,122
USP32P1,104,128
NCAM1,114,130
SIRPB2,98,112
LRRC37A4P,88,105
ACKR3,96,116
PARM1,118,125
PXDC1,101,116
PRDM8,101,115
AIF1,89,113
MYH14,107,127
ITPRIP,113,117
CYP26B1,94,114
CYP1B1,112,88
CSRNP1,94,118
HS3ST3A1,97,118
PMP22,91,117
MYRFL,106,133
SLC26A7,94,119
DIO3OS,118,106
SLC1A4,103,116
TLR1,97,119
PLEKHS1,94,132
EPHB2,85,89
ATRNL1,96,115
TMEM92,101,118
SRD5A3,96,121
SGK2,106,111
MUC13,100,97
P2RY14,118,128
ABCA7,81,107
CHSY1,98,122
STAT5B,108,125
SLFN13,112,117
ANK2,106,129
COL4A6,102,111
CCDC85A,97,127
SAMHD1,104,118
CLSTN2,106,135
MYO15B,107,125
FGFR2,102,115
SLC36A1,104,137
TUSC3,113,109
TRPV2,107,100
KLRB1,104,128
LINC00926,113,113
VASH1,99,110
IFNG-AS1,95,144
PLIN2,94,112
DEF6,122,126
NAAA,112,131
CCNA2,114,109
TGFB2,92,118
VLDLR,84,102
MPEG1,106,105
PTPRM,112,127
ASAP1,86,114
GGA2,92,135
CHRNA7,98,130
RNF145,105,118
LAT,93,129
TST,104,121
CMA1,109,112
DEFB1,94,132
NLRP3,107,122
GNG11,93,135
SCUBE2,93,127
A4GALT,78,123
EPB41L4B,95,108
IL15RA,91,117
SLITRK6,97,111
SH2B2,93,99
CST7,97,108
TMEM125,107,121
MYO16,112,117
GJC1,94,123
CRYBA2,101,118
MRAS,92,129
AMPH,99,128
STMN3,90,107
DTHD1,121,119
MYOCD,106,126
DNMT1,97,126
KNG1,90,111
CCBE1,98,137
FBXO6,93,114
ENTPD3,102,115
TNFRSF11B,98,137
CCDC71L,110,139
MCTP1,95,89
SH2D7,116,129
RASSF8,81,130
GCHFR,97,128
CCR6,95,114
VEGFA,91,128
UBE2C,93,125
CEACAM3,98,124
BST1,101,130
SETD7,81,136
SLC16A1,131,132
AHNAK2,96,143
C1QTNF1,97,122
AIFM3,95,124
APIP,84,119
PGAP3,88,131
BCAS4,91,113
GPR35,111,115
IL18R1,87,100
VSTM2A,92,100
SCN7A,121,114
COL21A1,111,110
ABCC9,102,107
CARD6,95,131
PRCP,116,127
CNTN3,107,105
IL6ST,94,115
SEC14L5,104,145
GLUL,108,114
MYLK,97,128
CNTN4,119,146
SGIP1,103,119
ADAMTS5,113,119
RIPK4,103,131
PCK2,108,121
ADARB1,106,144
GLI3,120,123
CBR1,88,121
FRZB,104,125
MYBPC1,92,106
ETV7,92,109
A2M,104,116
CXCR6,106,103
TMEM45A,95,131
ADCY5,97,122
PLAC8,135,117
CASR,115,124
NKG7,95,106
LGR5,96,103
MTSS1,98,122
CDH19,99,129
TRIP6,102,129
GGT6,129,121
MLIP,112,102
GCNT2,104,120
SEMA3D,98,130
APOLD1,98,116
IRF7,84,110
PIK3IP1,85,123
ARHGAP31,96,122
USH1C,83,123
GDPD3,111,134
L1CAM,91,117
TMPRSS6,93,110
SATB2,99,109
GALNT2,94,136
STAT3,94,139
ESAM,104,112
GADD45B,105,154
ANK1,93,118
LAMB1,107,125
GYPC,102,118
SEC1P,118,106
BMF,116,103
MYH10,88,130
GALNT8,93,106
AGTRAP,98,127
SFTPA2,95,123
ABCA4,94,113
DLGAP5,91,136
SESN3,105,107
ANO6,107,114
ITGB4,95,107
NCS1,99,127
CBS,91,139
DCDC2,106,119
NOTCH1,110,126
STEAP1,107,139
PZP,105,121
ADCY3,105,117
SHC3,96,129
MAFB,120,131
TMEM63C,89,101
RIPK2,105,118
HOXB6,87,108
ODC1,109,111
LAMB3,97,121
HKDC1,115,136
NLGN2,80,124
FAM43A,109,131
HIP1,102,107
FOLR2,88,139
NPNT,104,128
TMEM255A,93,108
PITX1,90,114
TRPC4,98,135
PTPRH,108,120
PITPNC1,97,120
CFL2,117,128
MROH6,98,138
EGLN3,110,127
COL4A5,99,143
MDK,93,112
EMB,100,128
RUNX2,85,105
SEMA6B,90,145
SIRPG,103,123
EBF1,109,124
EPS8L3,91,136
HMMR,106,124
PTCH1,101,134
PDZRN3,87,122
PLCB3,98,129
UNC5B,132,123
QSOX1,96,119
PDE7A,101,128
FLT4,103,123
TRAT1,105,109
ARHGEF35,102,130
PKP3,102,114
PAPPA,104,113
PPP1R12B,102,118
TRPA1,87,124
SFXN3,104,125
SLC6A6,97,117
ADAMTS8,117,121
TPX2,114,118
ERBB2,101,107
SOSTDC1,110,127
TPRN,87,115
CD200,101,118
VSTM4,102,117
IFNLR1,110,116
ABAT,95,108
CDK5R1,108,101
CARD16,104,120
VSIG10,82,124
SDF2L1,112,120
GREB1,104,139
PEG10,93,132
RERG,92,112
RAMP1,95,131
MUC2,127,118
DIO2,98,130
MAP1B,103,161
CDK1,87,126
RBM38,89,120
PRSS3,103,122
FIBCD1,112,132
NPIPB15,100,131
DPY19L1,116,135
ARL14,113,101
RAP1GAP,105,120
MYOF,101,142
NOTCH2,89,123
KIFC3,86,106
VIL1,94,128
EPHA7,108,104
GRK5,97,125
BMP6,119,145
ST3GAL5,104,106
PLD4,89,103
BEND4,111,120
NDNF,95,133
TMEM229A,86,130
STMN2,96,116
CYP2W1,103,112
EMID1,88,114
AKR1C3,97,105
ZNF257,114,100
MGAT3,84,151
OAT,92,131
GPC3,95,102
FAM167A,91,104
SGCD,88,115
JPH2,89,129
C12orf75,89,113
SLIT2,114,117
TBC1D9,99,127
MS4A2,109,125
NEURL1B,110,115
BHLHE41,108,111
BCAS1,107,106
SSPN,81,117
LIX1L,103,129
RNASE1,79,114
MYBL2,95,114
KIF11,95,143
IL18RAP,83,120
PPP1R14C,75,115
CD7,95,121
FRMD6,116,111
DOK2,111,128
NHSL1,94,136
IL1RAP,83,133
EDN1,119,113
SPON1,109,127
BEND5,84,117
KANSL1-AS1,89,114
SULT2B1,92,118
MYO7B,106,115
HTR1D,108,106
GLYCTK,101,123
PLCB1,91,123
ARHGEF3,93,112
PLOD2,99,124
NBEAL2,115,113
RBP5,89,116
RNF157,117,117
CDC42BPG,91,134
STK10,112,130
CLEC2B,107,144
LPIN1,96,117
NPIPB5,104,116
CMAHP,110,98
EPS8L2,89,125
PTN,112,125
FEN1,80,129
PLIN4,101,121
DHCR24,104,124
GJB1,90,144
GRAP2,98,131
TSHZ3,107,120
XCR1,90,130
CASS4,96,119
RIMS3,95,117
PTK6,112,146
NUSAP1,126,111
TCEA3,111,116
GRB7,108,97
TMEM54,84,115
SLC44A4,113,120
SYP,106,110
PTGIS,105,137
NUPR1,111,126
EPHB6,103,116
PTGER3,108,127
IGFALS,104,119
PKIG,117,116
GSTM3,91,101
MCM5,103,133
PTGES,110,122
ABI3,86,104
CRIP2,110,116
DCLK1,82,137
RAB23,106,121
RGS14,80,113
SSUH2,119,113
C14orf132,91,115
F5,105,111
SEC11C,93,110
AP1S2,97,127
GALNT12,93,130
ABCC3,108,100
VWC2,104,122
AMPD1,109,116
SLC16A4,113,127
SLC4A10,96,111
TMPRSS3,117,105
INSC,98,131
IGF1,104,117
PYHIN1,112,118
CLRN3,100,133
TMC5,100,125
FBLN5,101,124
AMPD3,81,135
AGR2,84,126
SUCNR1,96,119
PITPNM3,111,105
UHRF1,111,121
COBL,109,115
VWDE,99,117
TSHZ2,92,127
SULF2,98,109
MPDZ,101,111
SMAD7,105,110
EAF2,102,117
NT5E,92,109
ATP2C2,91,113
ROR2,81,114
SWAP70,97,123
SLC15A3,102,133
MVD,102,117
TACR2,87,115
HS6ST2,91,130
GPRC5B,111,127
KCNA2,87,135
PPP1R15A,103,126
TLR7,101,132
ESRRG,108,119
FGFR4,92,102
GULP1,88,111
ITGA11,84,136
ATOH1,81,113
ALDH3A1,99,129
CADM3,96,132
PRKCH,94,124
EMCN,88,123
CDC42EP2,102,116
KIF26B,88,145
PSTPIP2,121,131
CLGN,86,126
WNK4,84,103
SPIRE2,108,104
PTPRZ1,98,130
CYGB,105,109
PLK3,109,123
RBM24,90,114
GALNT6,95,121
TMEM150B,102,126
GK,98,112
KLF4,102,111
LRRC25,109,116
IRAK2,89,121
PLA2G4F,80,137
ADRA2A,113,124
STARD8,90,129
C11orf21,88,121
ABCC13,102,102
SDK2,100,103
GLT8D2,94,124
NPL,90,118
PTPRU,108,121
BLNK,102,113
SLC29A1,104,101
NHSL2,99,117
GPRC5A,102,115
CYSLTR1,102,131
VSNL1,113,112
ANK3,95,116
FCGRT,83,113
LST1,104,129
PTCHD1,83,127
ZNF521,104,120
NEBL,82,113
RAB8B,95,118
REP15,78,100
PLEKHN1,90,132
TINAG,88,129
CYP27B1,96,106
ANGPT1,105,103
PAM,99,119
PIWIL2,77,132
SLC29A4,102,130
CDH1,108,113
LIPA,92,122
SLC6A12,104,128
PRKAA2,93,138
GSDMB,101,114
NLRP7,109,103
SLC6A8,86,121
HSPA13,89,131
WFS1,107,121
CRYL1,102,123
DNAJC5B,87,125
TRAFD1,94,123
TJP3,93,134
CPED1,94,101
TM4SF18,91,124
TENM2,97,137
NR1I2,91,103
EGF,102,114
RILPL2,96,116
MST1R,108,128
ABHD6,92,132
RHBDL2,97,115
OGFRL1,95,126
LAMP5,113,120
PLEKHA2,109,124
SLC37A4,129,113
DIO3,88,133
KIF1A,95,113
COL24A1,104,120
TMEM139,85,108
ARHGEF34P,104,104
FREM1,102,104
KLF7,94,116
EFEMP2,103,114
MMP11,96,131
ABCD1,92,120
DZIP1,97,127
MPZL2,110,113
ANO1,96,104
NCAPH,102,117
CTSF,86,104
KIF23,92,124
MAPK11,101,122
EPB41L2,96,118
HS3ST3B1,97,132
ZNF704,94,121
CMPK2,120,105
ARSJ,117,123
TSPAN33,107,116
SREBF1,98,120
KIF2C,98,126
BCL6B,96,119
HNF1A,86,111
TMEM184A,87,119
ZDHHC11B,98,126
SULT1C3,105,132
C1orf210,106,116
PRC1,99,128
AURKB,96,131
CD3G,109,133
PTPRF,112,144
GLRX,102,139
C19orf38,100,116
TGIF2,100,123
ID1,108,126
NXF3,111,129
COL11A2,98,118
CIB2,99,120
PSMB10,100,113
IQGAP3,94,108
ITGA3,106,114
CKS2,80,129
HR,111,118
MAP3K6,106,115
PSMB8,103,124
NUAK1,107,131
CNTRL,113,116
TNFRSF18,93,114
ANP32E,101,125
CKMT1B,119,121
ARHGEF15,84,125
SEMA3A,103,134
MXD1,97,116
ANGPTL1,138,124
PTPRO,103,118
PPL,101,130
SPINT1,117,145
LMO2,107,104
PODN,109,121
CHODL,98,114
PDK2,87,125
SMPD3,95,116
GNAI1,114,115
CAPG,92,133
BLVRA,89,132
PCDH19,90,113
HSPA1B,103,145
FUOM,83,111
SORCS1,115,135
LIN7A,108,127
CKMT1A,93,122
ADAMTSL4,104,127
HLF,108,138
CDR2L,97,131
UBASH3B,100,114
SNX29,83,107
SCEL,96,110
COL27A1,100,143
RASSF10,108,112
PDIA4,105,105
GIPC2,92,108
IGHJ2,102,120
SLC16A14,105,132
DNASE2,102,108
CACNA1C,108,128
PRKACB,103,133
RBP4,97,108
GIMAP1,87,117
BATF3,103,106
EPHA10,94,125
SEMA4C,95,105
EGFLAM,127,118
DMRT2,105,117
DENND3,101,116
NR2F1,88,128
PDIA2,105,119
BMP7,86,104
CDC14A,99,103
WNT2B,107,119
TTYH3,108,115
KLK11,92,117
ADAMTSL3,85,113
FAM47E-STBD1,106,124
ACVRL1,94,114
UPP1,97,128
GATA6,121,115
STS,101,117
PML,75,132
SPRY4,109,115
CES1,114,127
IRF5,99,112
UNC5D,90,130
WDR17,90,120
BICD2,98,106
RAB34,108,103
SFMBT2,101,136
CHPF,99,114
TOP2A,100,120
MAB21L2,81,106
QSOX2,84,109
RSPO1,112,119
HDC,86,131
HES2,90,107
TSPAN2,106,125
TAT,96,130
CBL,91,131
PACS1,120,118
LSS,102,111
CAV2,91,145
TINAGL1,110,131
HSPA1A,106,123
SLC25A10,97,118
MLPH,96,114
PBX1,105,125
TNFRSF25,86,110
MFAP2,81,132
CHRM3,99,112
ADH4,86,130
PHF19,101,122
NCDN,107,138
F10,105,126
EPHB4,91,112
ERN1,92,108
GSN,97,130
CCDC141,124,132
AKR1B1,93,115
CYB5A,116,120
COL9A1,106,115
CLEC4A,85,114
H6PD,117,121
TMEM98,78,124
LOXL1,81,116
CSPG4,108,126
ARHGAP24,107,122
BUB1B,96,115
TESC,89,123
ZSCAN18,97,121
IL17RE,108,128
MCM2,103,96
LATS2,103,117
ECT2,98,133
SLC23A2,100,128
HLX,103,107
ARHGEF10,91,129
MAGI2-AS3,101,117
DAB2,106,122
AGPAT4,95,119
HPSE2,104,129
UBE2E2,93,119
SERPINA6,122,133
KLK15,91,129
FZD4,116,113
ESYT1,113,114
SIGLEC9,98,117
MYCT1,89,137
ARRDC3,98,111
FAM225A,99,136
ADCY9,85,119
GNB5,101,117
BICC1,104,137
GNA11,102,125
AGAP2,118,120
IGSF3,93,112
RARG,109,109
BAG3,109,124
SMARCA1,102,110
MTNR1A,105,129
FAM107A,111,123
TENM3,97,124
BCL11A,94,97
HMGB2,122,130
CCNB2,103,111
TP53INP1,108,112
ARHGAP44,102,136
KIAA0040,107,121
LTBP3,105,126
CHRNA3,101,119
GRIK3,102,105
TXLNB,87,113
ZNF107,86,137
SGCE,90,111
GPR174,96,128
SASH1,91,112
NDN,105,113
MSMO1,95,127
SYT7,105,124
B3GNT3,97,117
PTPRT,94,105
TPPP3,116,121
MAL,98,113
RGS18,80,110
KIFC1,96,136
SLC39A8,115,97
HAS2,113,104
DPP7,105,112
SCPEP1,101,128
SNHG18,109,127
PKN1,94,107
BTNL9,107,119
SLC22A23,124,132
FGF2,91,121
PAPPA2,100,122
GATA2,105,115
KCNJ2,96,124
SEMA6A,100,109
PPM1M,97,97
KCNMB1,96,115
IL17RA,98,137
CAMK2N1,98,120
CYLD,104,121
HSPA2,98,128
GIMAP2,117,107
SSR4,101,121
CACFD1,91,93
CBLN2,96,115
CKAP4,110,119
MR1,95,116
NIN,104,114
F2RL3,109,114
PHLDB2,103,123
ZBTB10,106,113
NPY1R,104,129
C16orf89,106,122
PPP1R16A,103,116
RAMP2,105,120
PTTG1,112,108
STARD10,91,109
GZMM,88,128
FAM167B,97,127
FBXO32,83,122
VAT1L,108,124
ADORA2B,103,119
ADPRH,102,126
RASIP1,91,114
AR,106,127
RGMB,95,112
WWC3,110,134
OCLN,104,109
CD82,88,95
PBXIP1,95,116
PDPR,100,95
CGN,103,122
CDYL2,80,119
LINC00426,117,123
ARHGEF16,89,117
PANK1,99,110
ST6GALNAC1,100,118
UCHL1,89,121
SLC7A1,123,107
TMEM171,91,121
COLEC11,89,116
BDKRB2,92,116
FMNL2,92,140
CLIP4,93,124
NDUFB7,107,123
CD160,97,112
SEMA5A,96,110
PTPN22,96,117
HNF4A,89,117
PMAIP1,95,124
TRAM2,75,132
NR1D2,113,115
PEPD,91,116
SRGAP2,111,132
PAMR1,121,138
ELOVL6,102,124
AGR3,102,117
HK1,98,116
SLC25A37,104,119
ST3GAL2,126,126
RAB39B,100,117
TMC6,104,128
TMPRSS4,111,126
PLK2,104,122
MAN1C1,108,95
PHACTR1,103,114
ST6GALNAC5,121,124
IRF8,89,144
NCF1B,91,136
CDC42EP3,97,113
GPC1,103,120
ADAM23,100,132
CALHM2,111,122
OSBPL3,91,132
FGF14,108,122
CTSW,94,92
IL34,90,105
SLC16A2,108,121
ARHGAP28,102,130
CLEC3B,99,118
ZNF469,87,111
TGFB1I1,96,111
MITF,92,120
ADAMTS10,106,114
ST6GALNAC4,92,115
ECSCR,93,107
ITM2C,96,115
OVOL1,116,105
HTR4,123,109
TCIRG1,104,129
DNAJB9,106,138
NETO2,103,124
CASP4,99,120
LIPH,116,125
CPA6,103,133
IPCEF1,75,129
PRR15L,84,120
NAT2,112,129
MELK,110,124
SLC16A5,89,112
VASH2,92,135
ZNF366,106,123
DTNA,108,129
RCAN3,94,117
PRKD3,102,108
VILL,102,139
TRABD2A,98,127
NPR1,94,117
SERINC2,107,125
EPN3,123,128
NYNRIN,92,108
EPDR1,110,140
P4HA1,96,111
SYDE1,97,132
PMEPA1,87,123
SLCO3A1,119,111
RCN3,99,107
GRIK2,123,115
ETHE1,88,112
VANGL2,101,113
DQX1,95,113
SLC9A7,105,115
CNKSR3,103,111
GRIN3A,103,135
RPL22L1,116,128
TIFAB,113,113
CD300LF,96,119
SPPL2B,100,131
MYBL1,100,118
PGM2L1,91,126
CBX2,97,132
ROS1,93,133
RUSC2,98,136
LYPD6B,93,138
CDCA7,104,142
PHGDH,106,115
PDCD4,83,133
ENAH,99,106
FAM3C,99,126
TSPAN7,105,110
FOXA3,94,132
SPEG,105,128
PIM1,117,131
SDS,101,129
PLCG1,93,116
REL,102,131
GNE,107,121
PEX6,106,110
MCM6,103,151
TTLL6,102,109
PRICKLE1,106,104
KLRD1,100,129
APBA2,88,133
PALLD,110,118
CDCA5,119,124
DENND4B,91,120
TTYH2,112,120
PSME2,111,120
MFSD12,100,110
ESRP1,90,114
NREP,89,122
NFE2L3,83,122
ZHX2,102,113
SYT13,115,124
KIF20A,75,104
OGDHL,105,122
RUNDC3B,90,91
GPM6A,102,122
UCN3,105,136
ZNF727,98,128
PPM1F,93,95
GALNT13,93,114
MAD2L1,101,105
FBXO41,101,135
SYNGAP1,112,106
IL18,93,116
PRICKLE2,104,131
KCNQ3,102,101
KIF26A,96,118
FLVCR2,102,122
KLF5,104,115
ARNT2,117,124
HLA-E,101,110
TNFRSF11A,98,113
TPST1,103,125
JAZF1,103,112
HDHD3,94,125
VEGFC,102,111
NLGN4X,97,118
ARHGEF40,105,106
SNED1,110,125
FOXJ1,108,107
ALDH1B1,101,112
NTN4,113,132
KCNG1,80,124
WNK1,83,127
LFNG,112,129
ABCA3,114,104
FABP4,97,125
ITGA1,95,123
MYRF,100,119
IFFO1,111,122
HIF3A,97,120
HOOK2,125,148
ANKRD20A1,96,116
MPP1,99,110
CARD10,93,120
DDX21,96,108
WFDC1,100,122
DBNDD1,101,149
YBX2,98,132
